lag,period,horizon,target_pct,target_label,n,target_hits,target_hit_rate,target_hit_wilson_lower_95,target_hit_wilson_upper_95,mean_target_zero_return,entry_dates,codes,events,retention_vs_parent_crosses
0,full_period,T+1,1,target_1pct,20135,11355,0.5639433821703501,0.5570821602501355,0.5707802089538608,0.005639433821703501,1173,2524,20155,0.35762447212463183
0,full_period,T+1,2,target_2pct,20135,8186,0.40655574869629996,0.3997895033536638,0.413357644096962,0.008131114973925999,1173,2524,20155,0.35762447212463183
0,full_period,T+1,3,target_3pct,20135,5773,0.2867146759374224,0.28050932296855824,0.29300139971372346,0.00860144027812267,1173,2524,20155,0.35762447212463183
0,full_period,T+1,4,target_4pct,20135,4017,0.19950335237149242,0.1940409531030929,0.2050803945716412,0.007980134094859696,1173,2524,20155,0.35762447212463183
0,full_period,T+1,5,target_5pct,20135,2859,0.14199155699031538,0.13723860147988318,0.1468810968447712,0.0070995778495157695,1173,2524,20155,0.35762447212463183
0,full_period,T+1,6,target_6pct,20135,2088,0.10370002483238143,0.09956423647599333,0.10798700619329703,0.006222001489942885,1173,2524,20155,0.35762447212463183
0,full_period,T+1,7,target_7pct,20135,1552,0.07707971194437546,0.07347574620894624,0.08084502664027263,0.0053955798361062825,1173,2524,20155,0.35762447212463183
0,full_period,T+1,8,target_8pct,20135,1191,0.05915073255525205,0.05597553318996224,0.06249412099312641,0.004732058604420164,1173,2524,20155,0.35762447212463183
0,full_period,T+1,9,target_9pct,20135,914,0.04539359324559225,0.04260393544830791,0.04835668862254231,0.0040854233921033024,1173,2524,20155,0.35762447212463183
0,full_period,T+1,10,target_10pct,20135,688,0.03416935684132108,0.03174760290351723,0.03676883053424314,0.003416935684132108,1173,2524,20155,0.35762447212463183
0,full_period,T+1,11,target_11pct,20135,504,0.025031040476781723,0.022962128449093816,0.027281158632522624,0.0027534144524459896,1173,2524,20155,0.35762447212463183
0,full_period,T+1,12,target_12pct,20135,360,0.01787931462627266,0.01613878053711413,0.01980378330925923,0.002145517755152719,1173,2524,20155,0.35762447212463183
0,full_period,T+1,13,target_13pct,20135,258,0.012813508815495407,0.011350303689629103,0.01446258119844708,0.001665756146014403,1173,2524,20155,0.35762447212463183
0,full_period,T+1,14,target_14pct,20135,191,0.009485969704494661,0.00823748983565393,0.010921586324913317,0.0013280357586292527,1173,2524,20155,0.35762447212463183
0,full_period,T+1,15,target_15pct,20135,144,0.007151725850509064,0.006078128759567313,0.008413350233941427,0.0010727588775763595,1173,2524,20155,0.35762447212463183
0,full_period,T+1,16,target_16pct,20135,110,0.005463123913583313,0.004535046673514665,0.006579872667228348,0.00087409982617333,1173,2524,20155,0.35762447212463183
0,full_period,T+1,17,target_17pct,20135,80,0.003973181028060591,0.003193816562825259,0.004941785437242112,0.0006754407747703006,1173,2524,20155,0.35762447212463183
0,full_period,T+1,18,target_18pct,20135,56,0.0027812267196424137,0.0021425514040245854,0.0036095967235022725,0.0005006208095356345,1173,2524,20155,0.35762447212463183
0,full_period,T+1,19,target_19pct,20135,41,0.002036255276881053,0.001501435648064272,0.0027610538091247653,0.0003868885026074001,1173,2524,20155,0.35762447212463183
0,full_period,T+1,20,target_20pct,20135,26,0.001291283834119692,0.0008813888875081979,0.0018914418993430174,0.0002582567668239384,1173,2524,20155,0.35762447212463183
0,full_period,T+2,1,target_1pct,20130,13010,0.6462990561351217,0.6396667702800547,0.6528755133544804,0.006462990561351217,1172,2524,20155,0.35762447212463183
0,full_period,T+2,2,target_2pct,20130,10084,0.5009438648782911,0.4940371217769604,0.5078502477948753,0.010018877297565823,1172,2524,20155,0.35762447212463183
0,full_period,T+2,3,target_3pct,20130,7686,0.38181818181818183,0.37512981817094454,0.38855164438710016,0.011454545454545455,1172,2524,20155,0.35762447212463183
0,full_period,T+2,4,target_4pct,20130,5786,0.28743169398907104,0.2812207781578138,0.29372372721665985,0.011497267759562842,1172,2524,20155,0.35762447212463183
0,full_period,T+2,5,target_5pct,20130,4387,0.21793343268753104,0.21228435027886783,0.22369015346412377,0.010896671634376553,1172,2524,20155,0.35762447212463183
0,full_period,T+2,6,target_6pct,20130,3344,0.16612021857923498,0.16104243316869446,0.17132541460457898,0.009967213114754098,1172,2524,20155,0.35762447212463183
0,full_period,T+2,7,target_7pct,20130,2592,0.1287630402384501,0.12420678926222377,0.13346095756260473,0.009013412816691506,1172,2524,20155,0.35762447212463183
0,full_period,T+2,8,target_8pct,20130,2082,0.10342771982116244,0.0992963713431293,0.10771040276400387,0.008274217585692996,1172,2524,20155,0.35762447212463183
0,full_period,T+2,9,target_9pct,20130,1644,0.08166915052160954,0.07796525790937966,0.08553268080490925,0.007350223546944859,1172,2524,20155,0.35762447212463183
0,full_period,T+2,10,target_10pct,20130,1268,0.06299056135121708,0.059717058920930634,0.06643082931913578,0.006299056135121709,1172,2524,20155,0.35762447212463183
0,full_period,T+2,11,target_11pct,20130,1012,0.05027322404371585,0.04733952732184528,0.053378539318750536,0.005530054644808743,1172,2524,20155,0.35762447212463183
0,full_period,T+2,12,target_12pct,20130,804,0.03994038748137109,0.03732186441793708,0.04273447217308886,0.004792846497764531,1172,2524,20155,0.35762447212463183
0,full_period,T+2,13,target_13pct,20130,637,0.03164431197218082,0.029314015281505984,0.03415333612549029,0.004113760556383507,1172,2524,20155,0.35762447212463183
0,full_period,T+2,14,target_14pct,20130,490,0.024341778440139097,0.02230188555076213,0.026563185484663125,0.003407848981619474,1172,2524,20155,0.35762447212463183
0,full_period,T+2,15,target_15pct,20130,399,0.019821162444113263,0.01798525216035221,0.02184031197838622,0.0029731743666169892,1172,2524,20155,0.35762447212463183
0,full_period,T+2,16,target_16pct,20130,306,0.015201192250372579,0.013601091403561168,0.016986295357244583,0.0024321907600596128,1172,2524,20155,0.35762447212463183
0,full_period,T+2,17,target_17pct,20130,242,0.012021857923497269,0.010606688072884465,0.013623243288053631,0.002043715846994536,1172,2524,20155,0.35762447212463183
0,full_period,T+2,18,target_18pct,20130,182,0.009041231992051665,0.00782407908370661,0.01044573783985556,0.0016274217585692996,1172,2524,20155,0.35762447212463183
0,full_period,T+2,19,target_19pct,20130,145,0.007203179334326876,0.0061253147479824206,0.008469098272531263,0.0013686040735221064,1172,2524,20155,0.35762447212463183
0,full_period,T+2,20,target_20pct,20130,114,0.005663189269746647,0.004716678253119635,0.0067983423080831525,0.0011326378539493294,1172,2524,20155,0.35762447212463183
0,full_period,T+3,1,target_1pct,20116,13979,0.6949194670908729,0.6885197805185859,0.7012447194166422,0.006949194670908729,1171,2523,20155,0.35762447212463183
0,full_period,T+3,2,target_2pct,20116,11269,0.5602008351560946,0.553330614257504,0.5670480670537843,0.011204016703121893,1171,2523,20155,0.35762447212463183
0,full_period,T+3,3,target_3pct,20116,8896,0.4422350367866375,0.43538334204757706,0.4491087903358111,0.013267051103599124,1171,2523,20155,0.35762447212463183
0,full_period,T+3,4,target_4pct,20116,6956,0.34579439252336447,0.33925158318269566,0.3523960886359532,0.013831775700934579,1171,2523,20155,0.35762447212463183
0,full_period,T+3,5,target_5pct,20116,5464,0.27162457745078544,0.26552183805783874,0.2778145269759695,0.013581228872539272,1171,2523,20155,0.35762447212463183
0,full_period,T+3,6,target_6pct,20116,4264,0.211970570689998,0.2063778428659926,0.21767328882880163,0.01271823424139988,1171,2523,20155,0.35762447212463183
0,full_period,T+3,7,target_7pct,20116,3390,0.1685225690992245,0.16341300187636712,0.17375871820317865,0.011796579836945716,1171,2523,20155,0.35762447212463183
0,full_period,T+3,8,target_8pct,20116,2722,0.13531517200238616,0.130657722022536,0.1401118848316253,0.010825213760190893,1171,2523,20155,0.35762447212463183
0,full_period,T+3,9,target_9pct,20116,2191,0.10891827401073773,0.10468749838849796,0.11329839271314969,0.009802644660966395,1171,2523,20155,0.35762447212463183
0,full_period,T+3,10,target_10pct,20116,1757,0.08734340823225294,0.08352007480841823,0.0913243235689527,0.008734340823225294,1171,2523,20155,0.35762447212463183
0,full_period,T+3,11,target_11pct,20116,1459,0.07252932988665739,0.0690261627221042,0.07619573604274495,0.007978226287532314,1171,2523,20155,0.35762447212463183
0,full_period,T+3,12,target_12pct,20116,1206,0.05995227679459137,0.0567548612726727,0.06331773412986764,0.007194273215350964,1171,2523,20155,0.35762447212463183
0,full_period,T+3,13,target_13pct,20116,993,0.049363690594551604,0.04645516545183598,0.05244430103302939,0.006417279777291709,1171,2523,20155,0.35762447212463183
0,full_period,T+3,14,target_14pct,20116,812,0.04036587790813283,0.03773263042124704,0.04317464670165038,0.005651222907138596,1171,2523,20155,0.35762447212463183
0,full_period,T+3,15,target_15pct,20116,659,0.03275999204613243,0.030387883799826276,0.03531052607234687,0.004913998806919864,1171,2523,20155,0.35762447212463183
0,full_period,T+3,16,target_16pct,20116,533,0.02649632133624975,0.024365643711194474,0.028807816660382207,0.00423941141379996,1171,2523,20155,0.35762447212463183
0,full_period,T+3,17,target_17pct,20116,436,0.0216742891230861,0.019751408145463948,0.023779829197875774,0.0036846291509246374,1171,2523,20155,0.35762447212463183
0,full_period,T+3,18,target_18pct,20116,356,0.017697355339033605,0.015965234715041923,0.019613653739030203,0.0031855239610260487,1171,2523,20155,0.35762447212463183
0,full_period,T+3,19,target_19pct,20116,297,0.01476436667329489,0.013187881080310743,0.016526150067926525,0.002805229667926029,1171,2523,20155,0.35762447212463183
0,full_period,T+3,20,target_20pct,20116,240,0.011930801352157487,0.010520819956125792,0.013527162608508315,0.0023861602704314975,1171,2523,20155,0.35762447212463183
0,full_period,T+4,1,target_1pct,20114,14769,0.7342646912598191,0.7281157679396556,0.7403241466086329,0.007342646912598191,1170,2523,20155,0.35762447212463183
0,full_period,T+4,2,target_2pct,20114,12246,0.6088296708760068,0.6020651884397761,0.6155525901990616,0.012176593417520136,1170,2523,20155,0.35762447212463183
0,full_period,T+4,3,target_3pct,20114,9874,0.49090185940141196,0.483995419251701,0.4978117742197894,0.014727055782042357,1170,2523,20155,0.35762447212463183
0,full_period,T+4,4,target_4pct,20114,7948,0.3951476583474197,0.38841195987427185,0.40192340095290546,0.01580590633389679,1170,2523,20155,0.35762447212463183
0,full_period,T+4,5,target_5pct,20114,6390,0.3176891717211892,0.31129023643544823,0.3241577332910854,0.015884458586059462,1170,2523,20155,0.35762447212463183
0,full_period,T+4,6,target_6pct,20114,5100,0.2535547379934374,0.24758987320889062,0.2596137226281498,0.015213284279606245,1170,2523,20155,0.35762447212463183
0,full_period,T+4,7,target_7pct,20114,4131,0.2053793377746843,0.19985287847488709,0.21101831558004575,0.014376553644227904,1170,2523,20155,0.35762447212463183
