lag,period,horizon,target_pct,target_label,n,target_hits,target_hit_rate,target_hit_wilson_lower_95,target_hit_wilson_upper_95,mean_realized_return,median_realized_return,entry_dates,codes,events,retention_vs_parent_crosses
0,full_period,T+20,1,target_1pct,20028,17480,0.8727781106450969,0.8680915268633711,0.8773217156215336,-0.004580942287707805,0.01,1161,2519,20135,0.35730763770584895
0,full_period,T+20,2,target_2pct,20028,16191,0.8084182144997004,0.8029088184862709,0.8138093169047357,-0.0018934243079812025,0.02,1161,2519,20135,0.35730763770584895
0,full_period,T+20,3,target_3pct,20028,14786,0.7382664270021969,0.7321331610739953,0.7443083059951132,-0.00029172074637649417,0.03,1161,2519,20135,0.35730763770584895
0,full_period,T+20,4,target_4pct,20028,13430,0.6705612142999801,0.664019603532001,0.677037406423589,0.0008564666454696452,0.04,1161,2519,20135,0.35730763770584895
0,full_period,T+20,5,target_5pct,20028,12253,0.6117934891152387,0.6050231707203234,0.6185209291890927,0.002110795277797401,0.05,1161,2519,20135,0.35730763770584895
0,full_period,T+20,6,target_6pct,20028,11097,0.5540742959856201,0.5471803931952923,0.5609474586143983,0.0030324460548301433,0.06,1161,2519,20135,0.35730763770584895
0,full_period,T+20,7,target_7pct,20028,10024,0.5004993009786299,0.4935750719191774,0.5074233385315123,0.003774431530448166,0.07,1161,2519,20135,0.35730763770584895
0,full_period,T+20,8,target_8pct,20028,9124,0.45556221290193727,0.44867399355705084,0.46246747633156876,0.004923155873418449,0.031546102619111394,1161,2519,20135,0.35730763770584895
0,full_period,T+20,9,target_9pct,20028,8235,0.41117435590173756,0.4043773711313313,0.418005409690977,0.005416984592337244,0.020455429254694235,1161,2519,20135,0.35730763770584895
0,full_period,T+20,10,target_10pct,20028,7441,0.3715298581985221,0.3648627754997335,0.37824621553781534,0.005949903702390861,0.014241790054026149,1161,2519,20135,0.35730763770584895
0,full_period,T+20,11,target_11pct,20028,6770,0.33802676253245456,0.33150699573078424,0.344608654065488,0.0066587627870435245,0.010676010691327842,1161,2519,20135,0.35730763770584895
0,full_period,T+20,12,target_12pct,20028,6142,0.3066706610744957,0.30032203167245,0.31309344182051124,0.007175402362725302,0.007521763047765306,1161,2519,20135,0.35730763770584895
0,full_period,T+20,13,target_13pct,20028,5565,0.2778609946075494,0.2717001912085948,0.2841069992795727,0.007562619005397111,0.0054008873109533395,1161,2519,20135,0.35730763770584895
0,full_period,T+20,14,target_14pct,20028,5093,0.2542939884162173,0.2483105053366717,0.2603717118789436,0.008122886247224206,0.003957785363242983,1161,2519,20135,0.35730763770584895
