lag,horizon,target_pct,n,target_hits,target_hit_rate,mean_target_zero_return,entry_dates,codes
0,T+1,1,20130,11351,0.5638847491306508,0.005638847491306508,1172,2524
0,T+1,2,20130,8184,0.4065573770491803,0.008131147540983607,1172,2524
0,T+1,3,20130,5771,0.28668653750620965,0.008600596125186289,1172,2524
0,T+1,4,20130,4016,0.19950322901142573,0.007980129160457029,1172,2524
0,T+1,5,20130,2858,0.1419771485345256,0.007098857426726279,1172,2524
0,T+1,6,20130,2088,0.10372578241430701,0.006223546944858421,1172,2524
0,T+1,7,20130,1552,0.07709885742672629,0.005396920019870841,1172,2524
0,T+1,8,20130,1191,0.059165424739195234,0.004733233979135619,1172,2524
0,T+1,9,20130,914,0.04540486835568803,0.0040864381520119225,1172,2524
0,T+1,10,20130,688,0.03417784401390959,0.0034177844013909588,1172,2524
0,T+1,11,20130,504,0.02503725782414307,0.002754098360655738,1172,2524
0,T+1,12,20130,360,0.01788375558867362,0.0021460506706408346,1172,2524
0,T+1,13,20130,258,0.012816691505216096,0.0016661698956780926,1172,2524
0,T+1,14,20130,191,0.009488325881768504,0.0013283656234475908,1172,2524
0,T+1,15,20130,144,0.007153502235469449,0.0010730253353204173,1172,2524
0,T+1,16,20130,110,0.00546448087431694,0.0008743169398907104,1172,2524
0,T+1,17,20130,80,0.003974167908594138,0.0006756085444610035,1172,2524
0,T+1,18,20130,56,0.0027819175360158967,0.0005007451564828614,1172,2524
0,T+1,19,20130,41,0.0020367610531544958,0.0003869846000993542,1172,2524
0,T+1,20,20130,26,0.0012916045702930949,0.000258320914058619,1172,2524
1,T+1,1,19913,11059,0.5553658414101341,0.005553658414101341,1170,2508
1,T+1,2,19913,8022,0.4028524079746899,0.008057048159493799,1170,2508
1,T+1,3,19913,5782,0.29036307939536987,0.008710892381861096,1170,2508
1,T+1,4,19913,4219,0.21187164164113895,0.008474865665645558,1170,2508
1,T+1,5,19913,3013,0.15130819062923717,0.007565409531461859,1170,2508
1,T+1,6,19913,2228,0.11188670717621654,0.006713202430572993,1170,2508
1,T+1,7,19913,1607,0.0807010495656104,0.0056490734695927285,1170,2508
1,T+1,8,19913,1214,0.060965198613970775,0.004877215889117662,1170,2508
1,T+1,9,19913,935,0.04695425099181439,0.004225882589263295,1170,2508
1,T+1,10,19913,723,0.03630793953698589,0.003630793953698589,1170,2508
1,T+1,11,19913,531,0.026665997087329887,0.0029332596796062876,1170,2508
1,T+1,12,19913,370,0.01858082659569126,0.002229699191482951,1170,2508
1,T+1,13,19913,285,0.014312258323708131,0.001860593582082057,1170,2508
1,T+1,14,19913,201,0.010093908501983629,0.001413147190277708,1170,2508
1,T+1,15,19913,146,0.007331893737759253,0.001099784060663888,1170,2508
1,T+1,16,19913,109,0.005473811078190127,0.0008758097725104204,1170,2508
1,T+1,17,19913,82,0.004117912921207252,0.0007000451966052328,1170,2508
1,T+1,18,19913,59,0.002962888565258876,0.0005333199417465977,1170,2508
1,T+1,19,19913,49,0.002460704062672626,0.0004675337719077989,1170,2508
1,T+1,20,19913,33,0.0016572088585346256,0.00033144177170692517,1170,2508
2,T+1,1,19656,10903,0.5546906796906796,0.0055469067969067965,1172,2487
2,T+1,2,19656,7789,0.3962657712657713,0.007925315425315426,1172,2487
2,T+1,3,19656,5452,0.27737077737077737,0.00832112332112332,1172,2487
2,T+1,4,19656,3850,0.19586894586894588,0.007834757834757835,1172,2487
2,T+1,5,19656,2694,0.13705738705738707,0.006852869352869354,1172,2487
2,T+1,6,19656,1912,0.09727309727309727,0.005836385836385836,1172,2487
2,T+1,7,19656,1396,0.07102157102157103,0.004971509971509972,1172,2487
2,T+1,8,19656,1049,0.05336792836792837,0.00426943426943427,1172,2487
2,T+1,9,19656,789,0.040140415140415144,0.003612637362637363,1172,2487
2,T+1,10,19656,601,0.030575905575905577,0.0030575905575905577,1172,2487
2,T+1,11,19656,444,0.022588522588522588,0.002484737484737485,1172,2487
2,T+1,12,19656,333,0.01694139194139194,0.002032967032967033,1172,2487
2,T+1,13,19656,246,0.012515262515262516,0.0016269841269841271,1172,2487
2,T+1,14,19656,185,0.009411884411884413,0.001317663817663818,1172,2487
2,T+1,15,19656,140,0.007122507122507123,0.0010683760683760683,1172,2487
2,T+1,16,19656,95,0.004833129833129833,0.0007733007733007732,1172,2487
2,T+1,17,19656,79,0.004019129019129019,0.0006832519332519334,1172,2487
2,T+1,18,19656,62,0.003154253154253154,0.0005677655677655678,1172,2487
2,T+1,19,19656,47,0.002391127391127391,0.0004543142043142043,1172,2487
2,T+1,20,19656,24,0.001221001221001221,0.0002442002442002442,1172,2487
3,T+1,1,19399,10750,0.5541522758905099,0.005541522758905099,1170,2473
3,T+1,2,19399,7824,0.40331975875045106,0.008066395175009022,1170,2473
3,T+1,3,19399,5575,0.2873859477292644,0.008621578431877932,1170,2473
3,T+1,4,19399,3948,0.20351564513634723,0.00814062580545389,1170,2473
3,T+1,5,19399,2794,0.14402804268261252,0.007201402134130626,1170,2473
3,T+1,6,19399,2020,0.1041290788184958,0.006247744729109748,1170,2473
3,T+1,7,19399,1461,0.07531316047218929,0.005271921233053251,1170,2473
3,T+1,8,19399,1048,0.0540234032682097,0.004321872261456776,1170,2473
3,T+1,9,19399,754,0.03886798288571576,0.003498118459714418,1170,2473
3,T+1,10,19399,561,0.028919016444146607,0.002891901644414661,1170,2473
3,T+1,11,19399,425,0.021908345791020155,0.002409918037012217,1170,2473
3,T+1,12,19399,320,0.016495695654415176,0.001979483478529821,1170,2473
3,T+1,13,19399,241,0.01242332078973143,0.001615031702665086,1170,2473
3,T+1,14,19399,180,0.009278828805608536,0.001299036032785195,1170,2473
3,T+1,15,19399,129,0.006649827310686118,0.0009974740966029177,1170,2473
3,T+1,16,19399,96,0.004948708696324553,0.0007917933914119285,1170,2473
3,T+1,17,19399,71,0.003659982473323367,0.0006221970204649724,1170,2473
3,T+1,18,19399,54,0.002783648641682561,0.000501056755502861,1170,2473
3,T+1,19,19399,41,0.0021135110057219444,0.00040156709108716946,1170,2473
3,T+1,20,19399,32,0.0016495695654415176,0.00032991391308830357,1170,2473
4,T+1,1,19212,10569,0.5501249219237976,0.005501249219237976,1174,2449
4,T+1,2,19212,7608,0.39600249843847596,0.00792004996876952,1174,2449
4,T+1,3,19212,5476,0.28503018946491776,0.008550905683947533,1174,2449
4,T+1,4,19212,3889,0.20242556735373723,0.00809702269414949,1174,2449
4,T+1,5,19212,2759,0.14360816156568812,0.007180408078284406,1174,2449
4,T+1,6,19212,1970,0.10254007911721841,0.006152404747033104,1174,2449
4,T+1,7,19212,1440,0.07495315427857589,0.005246720799500313,1174,2449
4,T+1,8,19212,1094,0.05694357693108474,0.004555486154486779,1174,2449
4,T+1,9,19212,803,0.04179679367062253,0.0037617114303560273,1174,2449
4,T+1,10,19212,616,0.03206329377472413,0.0032063293774724135,1174,2449
4,T+1,11,19212,441,0.022954403497813865,0.002524984384759525,1174,2449
4,T+1,12,19212,328,0.01707266291900895,0.0020487195502810742,1174,2449
4,T+1,13,19212,244,0.012700395586092025,0.0016510514261919634,1174,2449
4,T+1,14,19212,187,0.009733499895898397,0.0013626899854257757,1174,2449
4,T+1,15,19212,140,0.007287112221528212,0.0010930668332292317,1174,2449
4,T+1,16,19212,101,0.005257130959816781,0.000841140953570685,1174,2449
4,T+1,17,19212,72,0.0037476577139287947,0.0006371018113678951,1174,2449
4,T+1,18,19212,47,0.0024463876743701855,0.0004403497813866334,1174,2449
4,T+1,19,19212,35,0.001821778055382053,0.00034613783052259004,1174,2449
4,T+1,20,19212,26,0.0013533208411409536,0.00027066416822819076,1174,2449
5,T+1,1,19009,10303,0.5420064180125204,0.005420064180125203,1170,2437
5,T+1,2,19009,7372,0.38781629754326896,0.007756325950865379,1170,2437
5,T+1,3,19009,5149,0.2708716923562523,0.008126150770687568,1170,2437
5,T+1,4,19009,3639,0.19143563575148614,0.007657425430059446,1170,2437
5,T+1,5,19009,2672,0.1405649955284339,0.0070282497764216955,1170,2437
5,T+1,6,19009,1977,0.1040033668262402,0.006240202009574412,1170,2437
5,T+1,7,19009,1503,0.07906780998474407,0.005534746698932085,1170,2437
5,T+1,8,19009,1155,0.06076069230364564,0.004860855384291651,1170,2437
5,T+1,9,19009,886,0.04660950076279657,0.004194855068651691,1170,2437
5,T+1,10,19009,682,0.03587774212215267,0.003587774212215267,1170,2437
5,T+1,11,19009,524,0.027565889841653955,0.003032247882581935,1170,2437
5,T+1,12,19009,396,0.020832237361249933,0.0024998684833499917,1170,2437
5,T+1,13,19009,293,0.015413751380924825,0.0020037876795202273,1170,2437
5,T+1,14,19009,212,0.011152611920669157,0.001561365668893682,1170,2437
5,T+1,15,19009,162,0.008522278920511337,0.0012783418380767004,1170,2437
5,T+1,16,19009,121,0.006365405860381925,0.001018464937661108,1170,2437
5,T+1,17,19009,90,0.004734599400284076,0.000804881898048293,1170,2437
5,T+1,18,19009,68,0.003577252880214635,0.0006439055184386343,1170,2437
5,T+1,19,19009,54,0.0028407596401704457,0.0005397443316323847,1170,2437
5,T+1,20,19009,39,0.0020516597401230995,0.0004103319480246199,1170,2437
6,T+1,1,18868,10441,0.5533707865168539,0.005533707865168539,1175,2405
6,T+1,2,18868,7642,0.4050243799024804,0.008100487598049608,1175,2405
6,T+1,3,18868,5396,0.2859868560525758,0.008579605681577273,1175,2405
6,T+1,4,18868,3805,0.20166419334322663,0.008066567733729066,1175,2405
6,T+1,5,18868,2749,0.14569641721433113,0.007284820860716557,1175,2405
6,T+1,6,18868,2043,0.10827856688573245,0.006496714013143947,1175,2405
6,T+1,7,18868,1524,0.08077167691329235,0.005654017383930465,1175,2405
6,T+1,8,18868,1161,0.061532753868984526,0.004922620309518762,1175,2405
6,T+1,9,18868,893,0.047328810684757264,0.004259592961628153,1175,2405
6,T+1,10,18868,682,0.03614585541657833,0.003614585541657833,1175,2405
6,T+1,11,18868,493,0.026128895484418064,0.002874178503285987,1175,2405
6,T+1,12,18868,372,0.019715921136315456,0.0023659105363578545,1175,2405
6,T+1,13,18868,275,0.014574941700233199,0.001894742421030316,1175,2405
6,T+1,14,18868,207,0.010970956116175535,0.001535933856264575,1175,2405
6,T+1,15,18868,149,0.007896968412126351,0.0011845452618189525,1175,2405
6,T+1,16,18868,104,0.005511977952088192,0.0008819164723341107,1175,2405
6,T+1,17,18868,71,0.0037629849480602076,0.0006397074411702353,1175,2405
6,T+1,18,18868,53,0.0028089887640449437,0.0005056179775280898,1175,2405
6,T+1,19,18868,32,0.0016959932160271359,0.00032223871104515583,1175,2405
6,T+1,20,18868,24,0.0012719949120203519,0.0002543989824040704,1175,2405
7,T+1,1,18729,10737,0.573282075925036,0.00573282075925036,1173,2393
7,T+1,2,18729,7870,0.42020396177051633,0.008404079235410327,1173,2393
7,T+1,3,18729,5569,0.2973463612579422,0.008920390837738266,1173,2393
7,T+1,4,18729,3927,0.20967483581611404,0.008386993432644561,1173,2393
7,T+1,5,18729,2826,0.15088899567515618,0.0075444497837578095,1173,2393
7,T+1,6,18729,2039,0.10886859949810454,0.006532115969886272,1173,2393
7,T+1,7,18729,1531,0.08174488760745369,0.005722142132521759,1173,2393
7,T+1,8,18729,1174,0.06268353889689786,0.005014683111751829,1173,2393
7,T+1,9,18729,879,0.04693256447220887,0.004223930802498798,1173,2393
7,T+1,10,18729,653,0.03486571626888782,0.003486571626888782,1173,2393
7,T+1,11,18729,495,0.026429601153291685,0.0029072561268620855,1173,2393
7,T+1,12,18729,365,0.019488493779699932,0.002338619253563992,1173,2393
7,T+1,13,18729,284,0.015163649954615836,0.001971274494100059,1173,2393
7,T+1,14,18729,231,0.01233381387153612,0.001726733942015057,1173,2393
7,T+1,15,18729,163,0.008703080783811202,0.0013054621175716803,1173,2393
7,T+1,16,18729,124,0.006620748571733675,0.001059319771477388,1173,2393
7,T+1,17,18729,87,0.0046452026269421754,0.0007896844465801699,1173,2393
7,T+1,18,18729,62,0.0033103742858668376,0.0005958673714560308,1173,2393
7,T+1,19,18729,50,0.002669656682150675,0.0005072347696086283,1173,2393
7,T+1,20,18729,38,0.0020289390784345132,0.0004057878156869027,1173,2393
0,T+2,1,20116,12999,0.6462020282362299,0.006462020282362299,1171,2523
0,T+2,2,20116,10076,0.5008948101014118,0.010017896202028236,1171,2523
0,T+2,3,20116,7680,0.3817856432690396,0.011453569298071186,1171,2523
0,T+2,4,20116,5782,0.28743288924239413,0.011497315569695766,1171,2523
0,T+2,5,20116,4385,0.2179856830383774,0.01089928415191887,1171,2523
0,T+2,6,20116,3343,0.16618612050109366,0.009971167230065619,1171,2523
0,T+2,7,20116,2592,0.12885265460330086,0.00901968582223106,1171,2523
0,T+2,8,20116,2082,0.1034997017299662,0.008279976138397297,1171,2523
0,T+2,9,20116,1644,0.08172598926227878,0.00735533903360509,1171,2523
0,T+2,10,20116,1268,0.06303440047723205,0.006303440047723205,1171,2523
0,T+2,11,20116,1012,0.05030821236826407,0.005533903360509048,1171,2523
0,T+2,12,20116,804,0.03996818452972758,0.0047961821435673095,1171,2523
0,T+2,13,20116,637,0.03166633525551799,0.004116623583217339,1171,2523
0,T+2,14,20116,490,0.024358719427321537,0.0034102207198250154,1171,2523
0,T+2,15,20116,399,0.01983495724796182,0.002975243587194273,1171,2523
0,T+2,16,20116,306,0.015211771724000796,0.0024338834758401273,1171,2523
0,T+2,17,20116,242,0.012030224696758799,0.002045138198448996,1171,2523
0,T+2,18,20116,182,0.009047524358719427,0.0016285543845694968,1171,2523
0,T+2,19,20116,145,0.007208192483595148,0.001369556571883078,1171,2523
0,T+2,20,20116,114,0.0056671306422748065,0.0011334261284549614,1171,2523
1,T+2,1,19911,12764,0.6410526844457838,0.006410526844457838,1169,2508
1,T+2,2,19911,9948,0.4996233237908694,0.009992466475817387,1169,2508
1,T+2,3,19911,7550,0.37918738385816886,0.011375621515745065,1169,2508
1,T+2,4,19911,5725,0.2875295063030486,0.011501180252121943,1169,2508
1,T+2,5,19911,4366,0.21927577720857816,0.010963788860428909,1169,2508
1,T+2,6,19911,3317,0.16659133142484053,0.00999547988549043,1169,2508
1,T+2,7,19911,2521,0.12661342976244286,0.008862940083371,1169,2508
1,T+2,8,19911,1942,0.09753402641755814,0.007802722113404651,1169,2508
1,T+2,9,19911,1549,0.07779619305911305,0.007001657375320174,1169,2508
1,T+2,10,19911,1212,0.06087087539551002,0.0060870875395510025,1169,2508
1,T+2,11,19911,972,0.04881723670332982,0.00536989603736628,1169,2508
1,T+2,12,19911,758,0.038069408869469135,0.004568329064336296,1169,2508
1,T+2,13,19911,623,0.03128923710511777,0.004067600823665311,1169,2508
1,T+2,14,19911,469,0.023554818944302145,0.0032976746522023004,1169,2508
1,T+2,15,19911,379,0.019034704434734567,0.002855205665210185,1169,2508
1,T+2,16,19911,309,0.015519059816182009,0.0024830495705891217,1169,2508
1,T+2,17,19911,248,0.01245542664858621,0.002117422530259656,1169,2508
